2MHR_A	1A7E_A
1AEP_A	1AEP_A
1C8A_A	1C89_A
2DPG_A	1DPG_B
2DPG_A	1E7Y_A
2ACG_A	1F2K_A
2DPG_A	1H9A_A
1JC4_A	1JC4_C
1JC4_A	1JC5_B
1K1F_G	1K1F_A
1LS4_A	1LS4_A
1NH2_B	1NH2_B
1NH2_C	1NH2_C
7O4I_V	1NH2_D
1O0W_B	1O0W_B
1PAV_A	1PAV_A
1PW4_A	1PW4_A
1VYG_A	1VYF_A
2BFG_A	1W91_A
1WP6_A	1W9X_A
1Y08_A	1Y08_A
1YK9_A	1YK9_A
1ZTC_A	1ZTC_A
1ZTC_A	1ZTC_D
6I4U_B	1ZY8_F
1ZY8_K	1ZY8_M
2ACG_A	2ACG_A
2AJ6_A	2AJ6_A
1Y08_A	2AU1_A
2BFG_A	2BS9_D
2CJZ_A	2BV5_A
2CQJ_A	2CQJ_A
2D6Y_B	2D6Y_B
2GFP_B	2GFP_A
1WP6_A	2GJP_A
3U52_A	2INP_A
3U52_C	2INP_D
3U52_E	2INP_F
2INN_L	2INP_L
2MHR_A	2MHR_A
2MIQ_A	2MIQ_A
2N00_A	2N00_A
1AH9_A	2N78_A
2O9X_A	2O9X_A
1VYG_A	2POA_A
2PZ9_A	2PZ9_A
2QZU_A	2QZU_A
2WGB_A	2V57_B
2Y5Y_A	2V8N_B
4FM0_A	2VWK_A
2WGB_A	2WGB_A
2XIG_A	2XIG_A
2XIG_A	2XIG_C
2YPF_A	2YPF_A
3A98_A	3A98_A
3A98_D	3A98_B
3A98_D	3A98_D
3AKZ_B	3AFH_A
3AKZ_B	3AKZ_A
3AL0_A	3AL0_A
3AL0_B	3AL0_B
3AL0_C	3AL0_C
5TT2_C	3COG_D
3CTL_A	3CT7_B
3CTL_A	3CTL_B
3HJA_A	3HJA_A
2VGN_B	3J16_A
3J6B_0	3J6B_0
5MRC_1	3J6B_1
3J6B_2	3J6B_2
3J6B_3	3J6B_3
5MRF_4	3J6B_4
3J6B_5	3J6B_5
5MRF_6	3J6B_6
3J6B_7	3J6B_7
5MRF_8	3J6B_8
3J6B_9	3J6B_9
5MRF_a	3J6B_a
5MRF_b	3J6B_b
5MRF_B	3J6B_B
5MRF_c	3J6B_c
